SSN,NAME,PG,RANK,DESIG,ACTY,TITLE,FROM,TO,RS_NAME,RS_PG,RSTITLE,PREXP,EO,MB,TEAM,MISS,LEAD,TACT,AVG,MILESTONE1,MILESTONE2,NUMRATED,RSSUMAVG,RSCUMAVG,IND_NOB,IND_SP,IND_PR,IND_P,IND_MP,IND_EP,SUM_SP,SUM_PR,SUM_P,SUM_MP,SUM_EP,PROMSTAT,PERIODIC,CONCURRENT,OPS_CDR,REGULAR,DET_IND,DET_RS,SPECIAL,NOB,ACTIVE,ADSW,FTS,INACTIVE,PFA,OGLI,AUIC  
123456789,SMITH JOHNATHAN,O1,ENS  ,1390,NAVAVSCOLSCOM     ,STUDENT       ,20110702,20111027,MARSH B D,LCDR ,DEPT HEAD     ,0,0,0,0,0,0,0,000,                    ,                    ,0000,000,000,X, , , , , ,000,000,000,000,000,REGULAR ,1,0,0,0,1,0,0,1,1,0,0,0,N   ,S,42129                                           
123456789,SMITH JOHNATHAN,O1,ENS  ,1390,COMTRAWING FIVE   ,STUDENT       ,20111028,20120813,STEVEN J S,LCDR ,STUCON OFFICER,0,0,0,0,0,0,0,000,                    ,                    ,0000,000,000,X, , , , , ,000,000,000,000,000,REGULAR ,1,0,0,0,1,0,0,1,1,0,0,0,BP  ,S,44988                                           
123456789,SMITH JOHNATHAN,O2,LTJG ,1390,VT-7              ,STUDENT       ,20120814,20130913,CRUISE T L,LCDR ,OPS OFFICER   ,0,0,0,0,0,0,0,000,                    ,                    ,0000,000,000,X, , , , , ,000,000,000,000,000,REGULAR ,1,0,0,0,1,0,0,1,1,0,0,0,PP  ,S,0398A                                           
123456789,SMITH JOHNATHAN,O2,LTJG ,1310,VFA-122           ,STUDENT       ,20130914,20140228,HEMSWORTH L A,CDR  ,XO            ,0,0,0,0,0,0,0,000,                    ,                    ,0000,000,000,X, , , , , ,000,000,000,000,000,REGULAR ,1,0,0,1,0,0,0,1,1,0,0,0,N   ,S,3115B                                           
123456789,SMITH JOHNATHAN,O2,LTJG ,1310,VFA-122           ,STUDENT       ,20140301,20150228,ANGUS L Y,CDR  ,XO            ,0,0,0,0,0,0,0,000,                    ,                    ,0000,000,000,X, , , , , ,000,000,000,000,000,REGULAR ,1,0,0,1,0,0,0,1,1,0,0,0,PP  ,S,3115B                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,VFA- 122          ,STUDENT       ,20150301,20150708,SMITH H W,CDR  ,XO            ,0,0,0,0,0,0,0,000,                    ,                    ,0000,000,000,X, , , , , ,000,000,000,000,000,REGULAR ,1,0,0,0,1,0,0,1,1,0,0,0,P   ,S,3115B                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,VFA- 151          ,NATOPS OFFICER,20150709,20160131,JOHNS L A,CDR  ,CO            ,4,3,3,4,4,3,3,343,FRS INSTRUCTOR      ,SFTI                ,0011,371,388, , , ,X, , ,000,000,004,002,002,REGULAR ,1,0,0,1,0,0,0,0,1,0,0,0,P   ,S,09558                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,VFA-151           ,NATOPS OFFICER,20160201,20160704,JOHNS LA,CDR  ,CO            ,4,3,3,4,4,4,4,371,SFTI                ,FRS INSTRUCTOR      ,0021,382,393, , , , ,X, ,000,000,003,003,002,REGULAR ,1,0,0,0,0,1,0,0,1,0,0,0,B   ,S,09558                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,VFA-151           ,LINE DIVO     ,20160705,20170131,MARTIN J L,CDR  ,CO            ,4,3,4,4,5,4,4,400,SFTI '              ,FRS INSTRUCTOR      ,0010,398,419, , , , ,X, ,000,000,003,002,002,REGULAR ,1,0,0,1,0,0,0,0,1,0,0,0,P   ,S,09558                                           
123456789,SMITH JOHNATHAN,O3,LT   ,1310,VFA-151           ,A/A WTO       ,20170201,20171201,MARTIN JL,CDR  ,CO            ,5,3,4,4,5,5,4,429,SFTI                ,VX-9                ,0020,386,413, , , , , ,X,000,000,003,002,002,REGULAR ,1,0,0,0,0,1,0,0,1,0,0,0,PP  ,S,09558                                           
